fn_224_0 = .text:0x00000000; // type:function size:0x2EA4
fn_224_2EA4 = .text:0x00002EA4; // type:function size:0x154
fn_224_2FF8 = .text:0x00002FF8; // type:function size:0x68
fn_224_3060 = .text:0x00003060; // type:function size:0x4
fn_224_3064 = .text:0x00003064; // type:function size:0x44
fn_224_30A8 = .text:0x000030A8; // type:function size:0xBC
fn_224_3164 = .text:0x00003164; // type:function size:0xC
fn_224_3170 = .text:0x00003170; // type:function size:0xC
fn_224_317C = .text:0x0000317C; // type:function size:0x14
fn_224_3190 = .text:0x00003190; // type:function size:0xC
fn_224_319C = .text:0x0000319C; // type:function size:0x24
fn_224_31C0 = .text:0x000031C0; // type:function size:0x28
fn_224_31E8 = .text:0x000031E8; // type:function size:0xFC
fn_224_32E4 = .text:0x000032E4; // type:function size:0xBC
fn_224_33A0 = .text:0x000033A0; // type:function size:0x50
fn_224_33F0 = .text:0x000033F0; // type:function size:0x50
fn_224_3440 = .text:0x00003440; // type:function size:0x50
fn_224_3490 = .text:0x00003490; // type:function size:0x5C
fn_224_34EC = .text:0x000034EC; // type:function size:0xAC
fn_224_3598 = .text:0x00003598; // type:function size:0x70
fn_224_3608 = .text:0x00003608; // type:function size:0x6C
fn_224_3674 = .text:0x00003674; // type:function size:0x50
fn_224_36C4 = .text:0x000036C4; // type:function size:0x50
fn_224_3714 = .text:0x00003714; // type:function size:0x50
fn_224_3764 = .text:0x00003764; // type:function size:0xBC
fn_224_3820 = .text:0x00003820; // type:function size:0x3C
fn_224_385C = .text:0x0000385C; // type:function size:0x28
fn_224_3884 = .text:0x00003884; // type:function size:0x118
fn_224_399C = .text:0x0000399C; // type:function size:0x58
fn_224_39F4 = .text:0x000039F4; // type:function size:0x28
fn_224_3A1C = .text:0x00003A1C; // type:function size:0x118
fn_224_3B34 = .text:0x00003B34; // type:function size:0x58
fn_224_3B8C = .text:0x00003B8C; // type:function size:0xFC
fn_224_3C88 = .text:0x00003C88; // type:function size:0x1D0
fn_224_3E58 = .text:0x00003E58; // type:function size:0x380
fn_224_41D8 = .text:0x000041D8; // type:function size:0x29C
fn_224_4474 = .text:0x00004474; // type:function size:0x140
fn_224_45B4 = .text:0x000045B4; // type:function size:0x22C
fn_224_47E0 = .text:0x000047E0; // type:function size:0x158
fn_224_4938 = .text:0x00004938; // type:function size:0x1C0
fn_224_4AF8 = .text:0x00004AF8; // type:function size:0x11C
fn_224_4C14 = .text:0x00004C14; // type:function size:0x11C
fn_224_4D30 = .text:0x00004D30; // type:function size:0x88
fn_224_4DB8 = .text:0x00004DB8; // type:function size:0x68
fn_224_4E20 = .text:0x00004E20; // type:function size:0x28
fn_224_4E48 = .text:0x00004E48; // type:function size:0xAF4
fn_224_593C = .text:0x0000593C; // type:function size:0x4
fn_224_5940 = .text:0x00005940; // type:function size:0x30
fn_224_5970 = .text:0x00005970; // type:function size:0x88
fn_224_59F8 = .text:0x000059F8; // type:function size:0xA4
fn_224_5A9C = .text:0x00005A9C; // type:function size:0x14C
fn_224_5BE8 = .text:0x00005BE8; // type:function size:0x44
fn_224_5C2C = .text:0x00005C2C; // type:function size:0x24
fn_224_5C50 = .text:0x00005C50; // type:function size:0x88
fn_224_5CD8 = .text:0x00005CD8; // type:function size:0x30
fn_224_5D08 = .text:0x00005D08; // type:function size:0x4
fn_224_5D0C = .text:0x00005D0C; // type:function size:0x40
fn_224_5D4C = .text:0x00005D4C; // type:function size:0x20
fn_224_5D6C = .text:0x00005D6C; // type:function size:0x58
fn_224_5DC4 = .text:0x00005DC4; // type:function size:0x40
fn_224_5E04 = .text:0x00005E04; // type:function size:0x44
fn_224_5E48 = .text:0x00005E48; // type:function size:0x168
fn_224_5FB0 = .text:0x00005FB0; // type:function size:0xC0
fn_224_6070 = .text:0x00006070; // type:function size:0x20
fn_224_6090 = .text:0x00006090; // type:function size:0x20
fn_224_60B0 = .text:0x000060B0; // type:function size:0x20
fn_224_60D0 = .text:0x000060D0; // type:function size:0x20
fn_224_60F0 = .text:0x000060F0; // type:function size:0x20
fn_224_6110 = .text:0x00006110; // type:function size:0xE4
fn_224_61F4 = .text:0x000061F4; // type:function size:0x40
fn_224_6234 = .text:0x00006234; // type:function size:0x40
fn_224_6274 = .text:0x00006274; // type:function size:0x24
fn_224_6298 = .text:0x00006298; // type:function size:0x224
fn_224_64BC = .text:0x000064BC; // type:function size:0x30
fn_224_64EC = .text:0x000064EC; // type:function size:0x100
fn_224_65EC = .text:0x000065EC; // type:function size:0x10C
fn_224_66F8 = .text:0x000066F8; // type:function size:0x44
fn_224_673C = .text:0x0000673C; // type:function size:0x80
fn_224_67BC = .text:0x000067BC; // type:function size:0x108
fn_224_68C4 = .text:0x000068C4; // type:function size:0x74
fn_224_6938 = .text:0x00006938; // type:function size:0x28
fn_224_6960 = .text:0x00006960; // type:function size:0x4
fn_224_6964 = .text:0x00006964; // type:function size:0x58
fn_224_69BC = .text:0x000069BC; // type:function size:0x28
fn_224_69E4 = .text:0x000069E4; // type:function size:0x28
fn_224_6A0C = .text:0x00006A0C; // type:function size:0x28
fn_224_6A34 = .text:0x00006A34; // type:function size:0x60
fn_224_6A94 = .text:0x00006A94; // type:function size:0x60
fn_224_6AF4 = .text:0x00006AF4; // type:function size:0x60
lbl_224_rodata_10 = .rodata:0x00000010; // type:object size:0x4 data:float
lbl_224_rodata_14 = .rodata:0x00000014; // type:object size:0x4 data:float
lbl_224_rodata_18 = .rodata:0x00000018; // type:object size:0x4 data:float
lbl_224_rodata_1C = .rodata:0x0000001C; // type:object size:0x4 data:float
lbl_224_rodata_20 = .rodata:0x00000020; // type:object size:0x4 data:float
lbl_224_rodata_24 = .rodata:0x00000024; // type:object size:0x4 data:float
lbl_224_rodata_28 = .rodata:0x00000028; // type:object size:0x4 data:float
