fn_37_0 = .text:0x00000000; // type:function size:0x7AC data:2byte
fn_37_7AC = .text:0x000007AC; // type:function size:0x178
fn_37_924 = .text:0x00000924; // type:function size:0x4
fn_37_928 = .text:0x00000928; // type:function size:0x21C
fn_37_B44 = .text:0x00000B44; // type:function size:0xC
fn_37_B50 = .text:0x00000B50; // type:function size:0xC
fn_37_B5C = .text:0x00000B5C; // type:function size:0x134
fn_37_C90 = .text:0x00000C90; // type:function size:0x44
fn_37_CD4 = .text:0x00000CD4; // type:function size:0x184
fn_37_E58 = .text:0x00000E58; // type:function size:0x1C
fn_37_E74 = .text:0x00000E74; // type:function size:0x6C
fn_37_EE0 = .text:0x00000EE0; // type:function size:0x1F4
fn_37_10D4 = .text:0x000010D4; // type:function size:0x114
fn_37_11E8 = .text:0x000011E8; // type:function size:0x67C
fn_37_1864 = .text:0x00001864; // type:function size:0x3D4
fn_37_1C38 = .text:0x00001C38; // type:function size:0x64
fn_37_1C9C = .text:0x00001C9C; // type:function size:0x250
fn_37_1EEC = .text:0x00001EEC; // type:function size:0xB4
fn_37_1FA0 = .text:0x00001FA0; // type:function size:0x2F8
fn_37_2298 = .text:0x00002298; // type:function size:0x398
fn_37_2630 = .text:0x00002630; // type:function size:0x70
fn_37_26A0 = .text:0x000026A0; // type:function size:0x7C
fn_37_271C = .text:0x0000271C; // type:function size:0x88
fn_37_27A4 = .text:0x000027A4; // type:function size:0x3C
fn_37_27E0 = .text:0x000027E0; // type:function size:0x4
fn_37_27E4 = .text:0x000027E4; // type:function size:0x4
fn_37_27E8 = .text:0x000027E8; // type:function size:0x14
fn_37_27FC = .text:0x000027FC; // type:function size:0x1A0
fn_37_299C = .text:0x0000299C; // type:function size:0x50
fn_37_29EC = .text:0x000029EC; // type:function size:0xA60
fn_37_344C = .text:0x0000344C; // type:function size:0x10
fn_37_345C = .text:0x0000345C; // type:function size:0x14
fn_37_3470 = .text:0x00003470; // type:function size:0x14
fn_37_3484 = .text:0x00003484; // type:function size:0x28
fn_37_34AC = .text:0x000034AC; // type:function size:0x44
fn_37_34F0 = .text:0x000034F0; // type:function size:0x198
fn_37_3688 = .text:0x00003688; // type:function size:0x514
fn_37_3B9C = .text:0x00003B9C; // type:function size:0x138
fn_37_3CD4 = .text:0x00003CD4; // type:function size:0x138
fn_37_3E0C = .text:0x00003E0C; // type:function size:0xCC
fn_37_3ED8 = .text:0x00003ED8; // type:function size:0x10
fn_37_3EE8 = .text:0x00003EE8; // type:function size:0x84
fn_37_3F6C = .text:0x00003F6C; // type:function size:0x88
fn_37_3FF4 = .text:0x00003FF4; // type:function size:0x84
fn_37_4078 = .text:0x00004078; // type:function size:0x250
fn_37_42C8 = .text:0x000042C8; // type:function size:0x180
fn_37_4448 = .text:0x00004448; // type:function size:0x118
fn_37_4560 = .text:0x00004560; // type:function size:0x3B4
fn_37_4914 = .text:0x00004914; // type:function size:0x10
fn_37_4924 = .text:0x00004924; // type:function size:0x10
fn_37_4934 = .text:0x00004934; // type:function size:0x5C
fn_37_4990 = .text:0x00004990; // type:function size:0x13E4
fn_37_5D74 = .text:0x00005D74; // type:function size:0x128
fn_37_5E9C = .text:0x00005E9C; // type:function size:0x3C
fn_37_5ED8 = .text:0x00005ED8; // type:function size:0x10
fn_37_5EE8 = .text:0x00005EE8; // type:function size:0x6C
fn_37_5F54 = .text:0x00005F54; // type:function size:0xF8C
fn_37_6EE0 = .text:0x00006EE0; // type:function size:0x10C
fn_37_6FEC = .text:0x00006FEC; // type:function size:0x30
fn_37_701C = .text:0x0000701C; // type:function size:0x28
fn_37_7044 = .text:0x00007044; // type:function size:0x58
fn_37_709C = .text:0x0000709C; // type:function size:0x54
fn_37_70F0 = .text:0x000070F0; // type:function size:0x38
fn_37_7128 = .text:0x00007128; // type:function size:0x38
fn_37_7160 = .text:0x00007160; // type:function size:0x38
fn_37_7198 = .text:0x00007198; // type:function size:0x10
fn_37_71A8 = .text:0x000071A8; // type:function size:0x14
fn_37_71BC = .text:0x000071BC; // type:function size:0x14
fn_37_71D0 = .text:0x000071D0; // type:function size:0xD4
fn_37_72A4 = .text:0x000072A4; // type:function size:0xB74
fn_37_7E18 = .text:0x00007E18; // type:function size:0x608
fn_37_8420 = .text:0x00008420; // type:function size:0x112C
fn_37_954C = .text:0x0000954C; // type:function size:0xB4C
fn_37_A098 = .text:0x0000A098; // type:function size:0x60
fn_37_A0F8 = .text:0x0000A0F8; // type:function size:0x4
fn_37_A0FC = .text:0x0000A0FC; // type:function size:0x474
fn_37_A570 = .text:0x0000A570; // type:function size:0x160
