memset = .init:0x80003100; // type:function size:0x30 scope:global
__fill_mem = .init:0x80003130; // type:function size:0xB8 scope:global
memcpy = .init:0x800031E8; // type:function size:0x50 scope:global
TRK_memset = .init:0x80003238; // type:function size:0x30
TRK_memcpy = .init:0x80003268; // type:function size:0x24
gTRKInterruptVectorTable = .init:0x8000328C; // type:label scope:global
__TRK_reset = .init:0x800051C0; // type:function size:0x104
gTRKInterruptVectorTableEnd = .init:0x800051C0; // type:label scope:global
__check_pad3 = .init:0x800052C4; // type:function size:0x40 scope:local
__set_debug_bba = .init:0x80005304; // type:function size:0xC scope:local
__get_debug_bba = .init:0x80005310; // type:function size:0x8 scope:local
__start = .init:0x80005318; // type:function size:0x15C scope:weak
__init_registers = .init:0x80005474; // type:function size:0x90 scope:local
__init_data = .init:0x80005504; // type:function size:0xC0 scope:local
__init_hardware = .init:0x800055C4; // type:function size:0x24 scope:global
__flush_cache = .init:0x800055E8; // type:function size:0x34 scope:global
_rom_copy_info = .init:0x8000561C; // type:object size:0x6C scope:global data:4byte
_bss_init_info = .init:0x80005688; // type:object size:0x20 scope:global data:4byte
main = .text:0x800056C0; // type:function size:0x4EC scope:global
fn_80005BAC = .text:0x80005BAC; // type:function size:0x3E0
fn_80005F8C = .text:0x80005F8C; // type:function size:0x350
fn_800062DC = .text:0x800062DC; // type:function size:0x194
fn_80006470 = .text:0x80006470; // type:function size:0xF4
__va_arg = .text:0x80006564; // type:function size:0xC8 scope:global
__destroy_global_chain = .text:0x8000662C; // type:function size:0x48 scope:global
__cvt_fp2unsigned = .text:0x80006674; // type:function size:0x5C
__save_fpr = .text:0x800066D0; // type:function size:0x4C scope:global
_savefpr_14 = .text:0x800066D0; // type:label scope:global
_savefpr_15 = .text:0x800066D4; // type:label scope:global
_savefpr_16 = .text:0x800066D8; // type:label scope:global
_savefpr_17 = .text:0x800066DC; // type:label scope:global
_savefpr_18 = .text:0x800066E0; // type:label scope:global
_savefpr_19 = .text:0x800066E4; // type:label scope:global
_savefpr_20 = .text:0x800066E8; // type:label scope:global
_savefpr_21 = .text:0x800066EC; // type:label scope:global
_savefpr_22 = .text:0x800066F0; // type:label scope:global
_savefpr_23 = .text:0x800066F4; // type:label scope:global
_savefpr_24 = .text:0x800066F8; // type:label scope:global
_savefpr_25 = .text:0x800066FC; // type:label scope:global
_savefpr_26 = .text:0x80006700; // type:label scope:global
_savefpr_27 = .text:0x80006704; // type:label scope:global
_savefpr_28 = .text:0x80006708; // type:label scope:global
_savefpr_29 = .text:0x8000670C; // type:label scope:global
_savefpr_30 = .text:0x80006710; // type:label scope:global
_savefpr_31 = .text:0x80006714; // type:label scope:global
__restore_fpr = .text:0x8000671C; // type:function size:0x4C scope:global
_restfpr_14 = .text:0x8000671C; // type:label scope:global
_restfpr_15 = .text:0x80006720; // type:label scope:global
_restfpr_16 = .text:0x80006724; // type:label scope:global
_restfpr_17 = .text:0x80006728; // type:label scope:global
_restfpr_18 = .text:0x8000672C; // type:label scope:global
_restfpr_19 = .text:0x80006730; // type:label scope:global
_restfpr_20 = .text:0x80006734; // type:label scope:global
_restfpr_21 = .text:0x80006738; // type:label scope:global
_restfpr_22 = .text:0x8000673C; // type:label scope:global
_restfpr_23 = .text:0x80006740; // type:label scope:global
_restfpr_24 = .text:0x80006744; // type:label scope:global
_restfpr_25 = .text:0x80006748; // type:label scope:global
_restfpr_26 = .text:0x8000674C; // type:label scope:global
_restfpr_27 = .text:0x80006750; // type:label scope:global
_restfpr_28 = .text:0x80006754; // type:label scope:global
_restfpr_29 = .text:0x80006758; // type:label scope:global
_restfpr_30 = .text:0x8000675C; // type:label scope:global
_restfpr_31 = .text:0x80006760; // type:label scope:global
__save_gpr = .text:0x80006768; // type:function size:0x4C scope:global
_savegpr_14 = .text:0x80006768; // type:label scope:global
_savegpr_15 = .text:0x8000676C; // type:label scope:global
_savegpr_16 = .text:0x80006770; // type:label scope:global
_savegpr_17 = .text:0x80006774; // type:label scope:global
_savegpr_18 = .text:0x80006778; // type:label scope:global
_savegpr_19 = .text:0x8000677C; // type:label scope:global
_savegpr_20 = .text:0x80006780; // type:label scope:global
_savegpr_21 = .text:0x80006784; // type:label scope:global
_savegpr_22 = .text:0x80006788; // type:label scope:global
_savegpr_23 = .text:0x8000678C; // type:label scope:global
_savegpr_24 = .text:0x80006790; // type:label scope:global
_savegpr_25 = .text:0x80006794; // type:label scope:global
_savegpr_26 = .text:0x80006798; // type:label scope:global
_savegpr_27 = .text:0x8000679C; // type:label scope:global
_savegpr_28 = .text:0x800067A0; // type:label scope:global
_savegpr_29 = .text:0x800067A4; // type:label scope:global
_savegpr_30 = .text:0x800067A8; // type:label scope:global
_savegpr_31 = .text:0x800067AC; // type:label scope:global
__restore_gpr = .text:0x800067B4; // type:function size:0x4C scope:global
_restgpr_14 = .text:0x800067B4; // type:label scope:global
_restgpr_15 = .text:0x800067B8; // type:label scope:global
_restgpr_16 = .text:0x800067BC; // type:label scope:global
_restgpr_17 = .text:0x800067C0; // type:label scope:global
_restgpr_18 = .text:0x800067C4; // type:label scope:global
_restgpr_19 = .text:0x800067C8; // type:label scope:global
_restgpr_20 = .text:0x800067CC; // type:label scope:global
_restgpr_21 = .text:0x800067D0; // type:label scope:global
_restgpr_22 = .text:0x800067D4; // type:label scope:global
_restgpr_23 = .text:0x800067D8; // type:label scope:global
_restgpr_24 = .text:0x800067DC; // type:label scope:global
_restgpr_25 = .text:0x800067E0; // type:label scope:global
_restgpr_26 = .text:0x800067E4; // type:label scope:global
_restgpr_27 = .text:0x800067E8; // type:label scope:global
_restgpr_28 = .text:0x800067EC; // type:label scope:global
_restgpr_29 = .text:0x800067F0; // type:label scope:global
_restgpr_30 = .text:0x800067F4; // type:label scope:global
_restgpr_31 = .text:0x800067F8; // type:label scope:global
__div2u = .text:0x80006800; // type:function size:0xEC scope:global
__div2i = .text:0x800068EC; // type:function size:0x138
__mod2u = .text:0x80006A24; // type:function size:0xE4 scope:global
__shl2i = .text:0x80006B08; // type:function size:0x24
__shr2u = .text:0x80006B2C; // type:function size:0x24
__shr2i = .text:0x80006B50; // type:function size:0x28
__cvt_sll_dbl = .text:0x80006B78; // type:function size:0xB0
__cvt_dbl_usll = .text:0x80006C28; // type:function size:0xCC
__sys_free = .text:0x80006CF4; // type:function size:0xB8
exit = .text:0x80006DAC; // type:function size:0xCC scope:global
free = .text:0x80006E78; // type:function size:0x134
deallocate_from_fixed_pools = .text:0x80006FAC; // type:function size:0x1FC
SubBlock_merge_next = .text:0x800071A8; // type:function size:0xBC
Block_link = .text:0x80007264; // type:function size:0x17C
__flush_all = .text:0x800073E0; // type:function size:0x70
__close_all = .text:0x80007450; // type:function size:0x98 scope:global
__dec2num = .text:0x800074E8; // type:function size:0x954
__num2dec = .text:0x80007E3C; // type:function size:0x1A4
__num2dec_internal = .text:0x80007FE0; // type:function size:0x23C
__minus_dec = .text:0x8000821C; // type:function size:0x4FC
__less_dec = .text:0x80008718; // type:function size:0xF8
__equals_dec = .text:0x80008810; // type:function size:0x10C
__two_exp = .text:0x8000891C; // type:function size:0x340
__str2dec = .text:0x80008C5C; // type:function size:0xEC
__timesdec = .text:0x80008D48; // type:function size:0x28C
__ull2dec = .text:0x80008FD4; // type:function size:0x110
__count_trailing_zerol = .text:0x800090E4; // type:function size:0x70
__flush_buffer = .text:0x80009154; // type:function size:0xC4 scope:global
__prep_buffer = .text:0x80009218; // type:function size:0x34 scope:global
toupper = .text:0x8000924C; // type:function size:0x24
tolower = .text:0x80009270; // type:function size:0x24
__fwrite = .text:0x80009294; // type:function size:0x30C scope:global
fwrite = .text:0x800095A0; // type:function size:0x20 scope:global
fflush = .text:0x800095C0; // type:function size:0x138
fclose = .text:0x800096F8; // type:function size:0xC0
fseek = .text:0x800097B8; // type:function size:0x20 scope:global
_fseek = .text:0x800097D8; // type:function size:0x23C
ftell = .text:0x80009A14; // type:function size:0x70
wcstombs = .text:0x80009A84; // type:function size:0xA0 scope:global
unicode_to_UTF8 = .text:0x80009B24; // type:function size:0xA4
mbtowc = .text:0x80009BC8; // type:function size:0x20
utf8_to_unicode = .text:0x80009BE8; // type:function size:0x120
is_utf8_complete = .text:0x80009D08; // type:function size:0xEC
memcmp = .text:0x80009DF4; // type:function size:0x4C
__memrchr = .text:0x80009E40; // type:function size:0x2C scope:global
memchr = .text:0x80009E6C; // type:function size:0x2C scope:global
memmove = .text:0x80009E98; // type:function size:0xCC scope:global
__copy_longs_rev_unaligned = .text:0x80009F64; // type:function size:0xB0
__copy_longs_unaligned = .text:0x8000A014; // type:function size:0xC4
__copy_longs_rev_aligned = .text:0x8000A0D8; // type:function size:0xAC
__copy_longs_aligned = .text:0x8000A184; // type:function size:0xC0
__stdio_atexit = .text:0x8000A244; // type:function size:0x10 scope:global
sprintf = .text:0x8000A254; // type:function size:0xE0
vsprintf = .text:0x8000A334; // type:function size:0x78
vprintf = .text:0x8000A3AC; // type:function size:0x7C scope:global
__StringWrite = .text:0x8000A428; // type:function size:0x6C
__FileWrite = .text:0x8000A494; // type:function size:0x58 scope:global
__pformatter = .text:0x8000A4EC; // type:function size:0x774 scope:local
float2str = .text:0x8000AC60; // type:function size:0x6EC scope:local
round_decimal = .text:0x8000B34C; // type:function size:0x12C
double2hex = .text:0x8000B478; // type:function size:0x338 scope:local
longlong2str = .text:0x8000B7B0; // type:function size:0x2DC scope:local
long2str = .text:0x8000BA8C; // type:function size:0x220 scope:local
parse_format = .text:0x8000BCAC; // type:function size:0x504 scope:local
srand = .text:0x8000C1B0; // type:function size:0x8
rand = .text:0x8000C1B8; // type:function size:0x20
sscanf = .text:0x8000C1D8; // type:function size:0xC4
__StringRead = .text:0x8000C29C; // type:function size:0x90
__sformatter = .text:0x8000C32C; // type:function size:0x9AC
parse_format = .text:0x8000CCD8; // type:function size:0x548 scope:local
strstr = .text:0x8000D220; // type:function size:0x68
strchr = .text:0x8000D288; // type:function size:0x30 scope:global
strncmp = .text:0x8000D2B8; // type:function size:0x40
strcmp = .text:0x8000D2F8; // type:function size:0x128
strncat = .text:0x8000D420; // type:function size:0x4C
strcat = .text:0x8000D46C; // type:function size:0x2C
strncpy = .text:0x8000D498; // type:function size:0x44
strcpy = .text:0x8000D4DC; // type:function size:0xB8
strlen = .text:0x8000D594; // type:function size:0x1C scope:global
__strtold = .text:0x8000D5B0; // type:function size:0x100C
atoi = .text:0x8000E5BC; // type:function size:0xC0
strtoul = .text:0x8000E67C; // type:function size:0xAC
__strtoull = .text:0x8000E728; // type:function size:0x40C
__strtoul = .text:0x8000EB34; // type:function size:0x378
__close_console = .text:0x8000EEAC; // type:function size:0x8
__write_console = .text:0x8000EEB4; // type:function size:0xC4
fwide = .text:0x8000EF78; // type:function size:0x88 scope:global
__ieee754_acos = .text:0x8000F000; // type:function size:0x310
__ieee754_asin = .text:0x8000F310; // type:function size:0x264
__ieee754_atan2 = .text:0x8000F574; // type:function size:0x290
__ieee754_log = .text:0x8000F804; // type:function size:0x27C
__ieee754_log10 = .text:0x8000FA80; // type:function size:0x110
__ieee754_pow = .text:0x8000FB90; // type:function size:0x88C
__ieee754_rem_pio2 = .text:0x8001041C; // type:function size:0x3A0
__kernel_cos = .text:0x800107BC; // type:function size:0xF4
__kernel_rem_pio2 = .text:0x800108B0; // type:function size:0xE54
__kernel_sin = .text:0x80011704; // type:function size:0xA0
__kernel_tan = .text:0x800117A4; // type:function size:0x214
atan = .text:0x800119B8; // type:function size:0x200
ceil = .text:0x80011BB8; // type:function size:0x144
copysign = .text:0x80011CFC; // type:function size:0x28
